Company,Type,Series,URL,B2B vs B2C,Location,Status,Assignee
PowerBlocks,325d,INV528,,,,Assigned,Mabel Lee
Anker,501c,INV508,,,,Assigned,Jan Novák
Ballistic Pork,501c,INV534,,,,Assigned,Navn Navnesen
Pennine Capital,325d,INV515,,,,Assigned,Zhang San
TinkerIT,4800a,INV425,,,,Assigned,John Smith
Halter Group B.V.,4800a,INV543,,,,Assigned,Mabel Lee
JUST,4800a,INV531,,,,Assigned,Jan Novák
Oma Care,325d,INV502,,,,Assigned,Navn Navnesen
Infor,325d,INV402,,,,Assigned,Zhang San
Airwallet,501c,INV466,,,,Assigned,John Smith
Wave Photonics,501c,INV585,,,,Assigned,Mabel Lee
Blue Summit Education,501c,INV587,,,,Assigned,Jan Novák
Position Green,325d,INV560,,,,Assigned,Navn Navnesen
AISFOR_____,4800a,INV524,,,,Assigned,Zhang San
Jadwa Investment,501c,INV516,,,,Assigned,John Smith
Tango,4800a,INV469,,,,Assigned,Mabel Lee
Fair&Smart,325d,INV489,,,,Assigned,Jan Novák
DeltaFact ApS,501c,INV432,,,,Assigned,Navn Navnesen
Entrepreneur First,325d,INV552,,,,Assigned,Zhang San
Tangent,4800a,INV529,,,,Assigned,John Smith
HOOP INDUSTRIES LTD,501c,INV469,,,,Assigned,Mabel Lee
Clextral,4800a,INV409,,,,Assigned,Jan Novák
New Change FX,4800a,INV586,,,,Assigned,Navn Navnesen
Entrepreneur First,325d,INV406,,,,Assigned,Zhang San
Heptalytics,4800a,INV412,,,,Assigned,John Smith
Holis.co,325d,INV573,,,,Assigned,Mabel Lee
The Real Estate Investment Academy (REIA),501c,INV444,,,,Assigned,Jan Novák
Soupir,325d,INV579,,,,Assigned,Navn Navnesen
NCC Group,325d,INV429,,,,Assigned,Zhang San
akirolabs,4800a,INV523,,,,Assigned,John Smith
Gunna Drinks Ltd,4800a,INV408,,,,Assigned,Mabel Lee
L.E.K. Consulting,501c,INV586,,,,Assigned,Jan Novák
CSKeisari,325d,INV418,,,,Assigned,Navn Navnesen
Compass Labs,501c,INV512,,,,Assigned,Zhang San
Cambridge Artificial Intelligence Studios,501c,INV595,,,,Assigned,John Smith
Observe Technologies,325d,INV411,,,,Assigned,Mabel Lee
Entrepreneur First,501c,INV596,,,,Assigned,Jan Novák
Notion Capital,501c,INV502,,,,Assigned,Navn Navnesen
TrendMover,501c,INV537,,,,Assigned,Zhang San
Loomis,501c,INV462,,,,Assigned,John Smith
The LEAD Network,501c,INV458,,,,Assigned,Mabel Lee
Gynger,501c,INV420,,,,Assigned,Jan Novák
AIU Academy,4800a,INV534,,,,Assigned,Navn Navnesen
EnsiliTech,4800a,INV484,,,,Assigned,Zhang San
Prisma Advisory,325d,INV553,,,,Assigned,John Smith
Klineo,4800a,INV492,,,,Assigned,Mabel Lee
SANTAFOO,325d,INV544,,,,Assigned,Jan Novák
Lagom,501c,INV572,,,,Assigned,Navn Navnesen
Ednia,501c,INV556,,,,Assigned,Zhang San
YOUR BEET,4800a,INV422,,,,Assigned,John Smith
SAI-Intelligence,4800a,INV406,,,,Assigned,Mabel Lee
Water2,325d,INV529,,,,Assigned,Jan Novák
Tracebit,325d,INV459,,,,Assigned,Navn Navnesen
Ericsson,4800a,INV472,,,,Assigned,Zhang San
Infusee,325d,INV453,,,,Assigned,John Smith
Homaio,4800a,INV497,,,,Assigned,Mabel Lee
Hargrave Succession Partners,501c,INV474,,,,Assigned,Jan Novák
Somnology,501c,INV480,,,,Assigned,Navn Navnesen
Intergrid,501c,INV564,,,,Assigned,Zhang San
art for our sea,4800a,INV558,,,,Assigned,John Smith
Maison Gabia,501c,INV565,,,,Assigned,Mabel Lee
Volteras,325d,INV412,,,,Assigned,Jan Novák
Voicify AI,325d,INV409,,,,Assigned,Navn Navnesen
Norma BI,501c,INV550,,,,Assigned,Zhang San
Cardboard,325d,INV486,,,,Assigned,John Smith
CyberWomen Groups C.I.C.,325d,INV562,,,,Assigned,Mabel Lee
TrinityHawk,501c,INV444,,,,Assigned,Jan Novák
Pitod,4800a,INV437,,,,Assigned,Navn Navnesen
Pistachio,501c,INV467,,,,Assigned,Zhang San
Tjommi,325d,INV407,,,,Assigned,John Smith
EVRYONE GROUP,501c,INV520,,,,Assigned,Mabel Lee
Sana,325d,INV523,,,,Assigned,Jan Novák
Zaptec,4800a,INV520,,,,Assigned,Navn Navnesen
Huscle,325d,INV527,,,,Assigned,Zhang San
Ember Paw Games,4800a,INV502,,,,Assigned,John Smith
Astris,325d,INV411,,,,Assigned,Mabel Lee
English Connection,4800a,INV556,,,,Assigned,Jan Novák
GlobalComix,501c,INV401,,,,Assigned,Navn Navnesen
Fipto,325d,INV529,,,,Assigned,Zhang San
Bonx,501c,INV515,,,,Assigned,John Smith
MULTIOWL UG (haftungsbeschränkt),4800a,INV434,,,,Assigned,Mabel Lee
Lamisscoach®️,4800a,INV434,,,,Assigned,Jan Novák
AAWE,4800a,INV457,,,,Assigned,Navn Navnesen
Green Legacy,325d,INV419,,,,Assigned,Zhang San
Entrepreneur First,4800a,INV439,,,,Assigned,John Smith
Sania Therapeutics,325d,INV483,,,,Assigned,Mabel Lee
Zing Cover,501c,INV506,,,,Assigned,Jan Novák
Ted's Health,325d,INV522,,,,Assigned,Navn Navnesen
coordi,501c,INV486,,,,Assigned,Zhang San
Beavr ,325d,INV531,,,,Assigned,John Smith
Orange Cyberdefense,4800a,INV442,,,,Assigned,Mabel Lee
Orbitti Oy,4800a,INV414,,,,Assigned,Jan Novák
Matricis.ai,325d,INV584,,,,Assigned,Navn Navnesen
Projet Sens,501c,INV417,,,,Assigned,Zhang San
Business Bodhi,4800a,INV492,,,,Assigned,John Smith
Jinko,325d,INV561,,,,Assigned,Mabel Lee
hypesetters,4800a,INV595,,,,Assigned,Jan Novák
SyOps Limited,501c,INV563,,,,Assigned,Navn Navnesen
impactify,501c,INV599,,,,Assigned,Zhang San
Byteso,325d,INV567,,,,Assigned,John Smith
Ubique,501c,INV542,,,,Assigned,Mabel Lee
OÜA,4800a,INV579,,,,Assigned,Jan Novák
My Intelligent Health Ltd,4800a,INV563,,,,Assigned,Navn Navnesen
Impact Imagery,325d,INV450,,,,Assigned,Zhang San
Coiniverse,4800a,INV416,,,,Assigned,John Smith
P1 Security,501c,INV442,,,,Assigned,Mabel Lee
Code Anyway (Techstars '23),4800a,INV451,,,,Assigned,Jan Novák
Applai,325d,INV500,,,,Assigned,Navn Navnesen
THE AIGENCY,4800a,INV475,,,,Assigned,Zhang San
Maayan payments,4800a,INV501,,,,Assigned,John Smith
Spellz,4800a,INV497,,,,Assigned,Mabel Lee
Altruistiq,325d,INV580,,,,Assigned,Jan Novák
The Spark,501c,INV469,,,,Assigned,Navn Navnesen
Trustle,501c,INV417,,,,Assigned,Zhang San
Mansart Homes,4800a,INV460,,,,Assigned,John Smith
Swipet,4800a,INV547,,,,Assigned,Mabel Lee
Suplient,501c,INV581,,,,Assigned,Jan Novák
Riviera Radio,501c,INV445,,,,Assigned,Navn Navnesen
Frameworks AS,4800a,INV491,,,,Assigned,Zhang San
Lavender Ventures,4800a,INV436,,,,Assigned,John Smith
Akeo Capital Management,4800a,INV508,,,,Assigned,Mabel Lee
RangePlus Fulfilment,4800a,INV556,,,,Assigned,Jan Novák
Talent Seed,325d,INV578,,,,Assigned,Navn Navnesen
OrthographIQ,4800a,INV564,,,,Assigned,Zhang San
Convention des Entreprises pour le Climat,4800a,INV585,,,,Assigned,John Smith
NOCHES AI,325d,INV432,,,,Assigned,Mabel Lee
Outlier Ventures,4800a,INV473,,,,Assigned,Jan Novák
Cerbos,325d,INV554,,,,Assigned,Navn Navnesen
Juvetti,4800a,INV449,,,,Assigned,Zhang San
Alan,501c,INV513,,,,Assigned,John Smith
HENSOLDT Analytics,501c,INV593,,,,Assigned,Mabel Lee
Gaea,4800a,INV435,,,,Assigned,Jan Novák
Lazazu,4800a,INV415,,,,Assigned,Navn Navnesen
Coursensu,4800a,INV567,,,,Assigned,Zhang San
Surfy°,4800a,INV484,,,,Assigned,John Smith
Enodo Robotics,4800a,INV404,,,,Assigned,Mabel Lee
TECHKARE,4800a,INV561,,,,Assigned,Jan Novák
Datapay,4800a,INV437,,,,Assigned,Navn Navnesen
Mosaic,501c,INV589,,,,Assigned,Zhang San
dema.ai,325d,INV453,,,,Assigned,John Smith
Huzar & Pujol Transactions,501c,INV441,,,,Assigned,Mabel Lee
Bright Star Studios,325d,INV576,,,,Assigned,Jan Novák
Mr. Quick Cocktails,325d,INV442,,,,Assigned,Navn Navnesen
BetterContact,4800a,INV538,,,,Assigned,Zhang San
Entrepreneur First,325d,INV530,,,,Assigned,John Smith
HyLight,325d,INV487,,,,Assigned,Mabel Lee
Culinu,4800a,INV476,,,,Assigned,Jan Novák
Morg&Co,501c,INV507,,,,Assigned,Navn Navnesen
Motomic,501c,INV491,,,,Assigned,Zhang San
Domelior,325d,INV571,,,,Assigned,John Smith
PXL AS,4800a,INV432,,,,Assigned,Mabel Lee
YIELD STUDIO,4800a,INV525,,,,Assigned,Jan Novák
ESPÉ,4800a,INV479,,,,Assigned,Navn Navnesen
Envar Entertainment,4800a,INV555,,,,Assigned,Zhang San
Granyt,501c,INV552,,,,Assigned,John Smith
Uncover Consulting,4800a,INV445,,,,Assigned,Mabel Lee
GlucoFit GmbH,4800a,INV517,,,,Assigned,Jan Novák
World Economic Forum,4800a,INV429,,,,Assigned,Navn Navnesen
Bloomberg LP,325d,INV432,,,,Assigned,Zhang San
Children's Investment Fund Foundation (CIFF),501c,INV538,,,,Assigned,John Smith
The Sutton Trust,325d,INV509,,,,Assigned,Mabel Lee
Equinoxe,501c,INV512,,,,Assigned,Jan Novák
Boards on Fire,501c,INV505,,,,Assigned,Navn Navnesen
PwC UK,501c,INV459,,,,Assigned,Zhang San
Flatpay,4800a,INV528,,,,Assigned,John Smith
mkodo,4800a,INV448,,,,Assigned,Mabel Lee
CERPRO GmbH,4800a,INV559,,,,Assigned,Jan Novák
Nasutech,501c,INV475,,,,Assigned,Navn Navnesen
HashblockResearch,4800a,INV422,,,,Assigned,Zhang San
FairCare GmbH,325d,INV548,,,,Assigned,John Smith
Briif,325d,INV426,,,,Assigned,Mabel Lee
Ungana,325d,INV555,,,,Assigned,Jan Novák
BeyondMath,4800a,INV426,,,,Assigned,Navn Navnesen
Groupe BPCE,501c,INV590,,,,Assigned,Zhang San
Promaps Technology AS,501c,INV407,,,,Assigned,John Smith
Superagent,4800a,INV580,,,,Assigned,Mabel Lee
novaio consultants,4800a,INV424,,,,Assigned,Jan Novák
Microsoft,501c,INV414,,,,Assigned,Navn Navnesen
eComID,325d,INV436,,,,Assigned,Zhang San
Dynemia,501c,INV440,,,,Assigned,John Smith
Day1Sport Studios,4800a,INV585,,,,Assigned,Mabel Lee
Elyn,501c,INV482,,,,Assigned,Jan Novák
Adiuvo Energy,4800a,INV551,,,,Assigned,Navn Navnesen
Skill & Reach,4800a,INV571,,,,Assigned,Zhang San
FractalMind AI,4800a,INV420,,,,Assigned,John Smith
Cerco AS,501c,INV558,,,,Assigned,Mabel Lee
Connecting Humans,4800a,INV505,,,,Assigned,Jan Novák
Kyros agency,325d,INV470,,,,Assigned,Navn Navnesen
Inova IT,4800a,INV445,,,,Assigned,Zhang San
Antler,4800a,INV588,,,,Assigned,John Smith
Togggle,4800a,INV478,,,,Assigned,Mabel Lee
Dattak,501c,INV580,,,,Assigned,Jan Novák
Get Influence - Viral TikTok UGC,501c,INV405,,,,Assigned,Navn Navnesen
SpiritMe,325d,INV506,,,,Assigned,Zhang San
MAIKERS INSTITUTE,4800a,INV545,,,,Assigned,John Smith
Intra Drive Ltd,4800a,INV523,,,,Assigned,Mabel Lee
Tailwind Biotech,501c,INV531,,,,Assigned,Jan Novák
LADAPT,325d,INV479,,,,Assigned,Navn Navnesen
Fact&Fiction Marketing,325d,INV401,,,,Assigned,Zhang San
Malt,4800a,INV450,,,,Assigned,John Smith
Ithaque,501c,INV457,,,,Assigned,Mabel Lee
THIS Labs,325d,INV413,,,,Assigned,Jan Novák
Honest Food Talks,4800a,INV506,,,,Assigned,Navn Navnesen
Tilt,4800a,INV505,,,,Assigned,Zhang San
Caerus Accountancy Recruitment,501c,INV411,,,,Assigned,John Smith
Voltz Labs,4800a,INV443,,,,Assigned,Mabel Lee
Hubflo,325d,INV412,,,,Assigned,Jan Novák
zinehub,325d,INV525,,,,Assigned,Navn Navnesen
Les Ateliers digitaux Eazannadje,501c,INV486,,,,Assigned,Zhang San
Stealth Startup,4800a,INV531,,,,Assigned,John Smith
THE SQUAD,325d,INV440,,,,Assigned,Mabel Lee
TapeNology,325d,INV519,,,,Assigned,Jan Novák
Ceviant Finance ,501c,INV554,,,,Assigned,Navn Navnesen
Residenture,501c,INV558,,,,Assigned,Zhang San
Cession Makers,4800a,INV597,,,,Assigned,John Smith
Optima Nanomed Limited,501c,INV564,,,,Assigned,Mabel Lee
vektIQ,501c,INV520,,,,Assigned,Jan Novák
Teshome Alliance,501c,INV420,,,,Assigned,Navn Navnesen
Humus Tourism Consultancy & Development,501c,INV509,,,,Assigned,Zhang San
ACRE,501c,INV474,,,,Assigned,John Smith
AutogenAI,4800a,INV449,,,,Assigned,Mabel Lee
Neon4Business,501c,INV541,,,,Assigned,Jan Novák
Bonne table,4800a,INV471,,,,Assigned,Navn Navnesen
Save the Children International,325d,INV578,,,,Assigned,Zhang San
Sēve,501c,INV586,,,,Assigned,John Smith
Kognic,325d,INV420,,,,Assigned,Mabel Lee
Rools,501c,INV540,,,,Assigned,Jan Novák
Aliya Capital,4800a,INV483,,,,Assigned,Navn Navnesen
BONI,325d,INV470,,,,Assigned,Zhang San
ICBRG,325d,INV405,,,,Assigned,John Smith
AnnexusPartners,4800a,INV509,,,,Assigned,Mabel Lee
Elements Talent Consultancy,325d,INV430,,,,Assigned,Jan Novák
Inflow Partnership,501c,INV474,,,,Assigned,Navn Navnesen
Electryone AI,325d,INV461,,,,Assigned,Zhang San
Royal Academy of Engineering,4800a,INV446,,,,Assigned,John Smith
WeVee® Technologies Ltd,325d,INV560,,,,Assigned,Mabel Lee
StockRx,501c,INV588,,,,Assigned,Jan Novák
Warwickshire Walking Tours,325d,INV431,,,,Assigned,Navn Navnesen
Mile End Institute,501c,INV482,,,,Assigned,Zhang San
MyEpi,325d,INV545,,,,Assigned,John Smith
Novartis,325d,INV552,,,,Assigned,Mabel Lee
Emètis RH,501c,INV559,,,,Assigned,Jan Novák
Founders Running Club,4800a,INV484,,,,Assigned,Navn Navnesen
Ledgy,325d,INV482,,,,Assigned,Zhang San
Thread Innovation,501c,INV552,,,,Assigned,John Smith
Katalyz,4800a,INV424,,,,Assigned,Mabel Lee
TravelTail,325d,INV400,,,,Assigned,Jan Novák
Nordic Impact Lab,4800a,INV505,,,,Assigned,Navn Navnesen
Neostratup,501c,INV497,,,,Assigned,Zhang San
Imperial College Women & Non-Binary Individuals in Computing,4800a,INV519,,,,Assigned,John Smith
Beside me,4800a,INV468,,,,Assigned,Mabel Lee
DaxMedia ApS,501c,INV489,,,,Assigned,Jan Novák
Structuraize,4800a,INV551,,,,Assigned,Navn Navnesen
Studio Lior,501c,INV575,,,,Assigned,Zhang San
Packar,325d,INV500,,,,Assigned,John Smith
IMPACT Commerce,501c,INV406,,,,Assigned,Mabel Lee
Maison Cuilleret,501c,INV464,,,,Assigned,Jan Novák
The Trailblazer,4800a,INV537,,,,Assigned,Navn Navnesen
LinkedIn,501c,INV541,,,,Assigned,Zhang San
ACUA Ocean,501c,INV588,,,,Assigned,John Smith
Outspire Foundry,501c,INV413,,,,Assigned,Mabel Lee
Stratosphere,325d,INV402,,,,Assigned,Jan Novák
Forloop.ai,325d,INV420,,,,Assigned,Navn Navnesen
Bright Blu Dot,501c,INV547,,,,Assigned,Zhang San
Walor,501c,INV429,,,,Assigned,John Smith
Amphi Botanicals,4800a,INV540,,,,Assigned,Mabel Lee
Mozart AI,325d,INV407,,,,Assigned,Jan Novák
Invicta Pharma Investments,4800a,INV546,,,,Assigned,Navn Navnesen
Vouch,4800a,INV474,,,,Assigned,Zhang San
Travel Differently Ltd,4800a,INV506,,,,Assigned,John Smith
HSO,4800a,INV516,,,,Assigned,Mabel Lee
YourTutors,325d,INV513,,,,Assigned,Jan Novák
COMA.SITE,4800a,INV468,,,,Assigned,Navn Navnesen
UMANO,325d,INV600,,,,Assigned,Zhang San
Glasgow Caledonian University,325d,INV493,,,,Assigned,John Smith
AIDETIC,325d,INV463,,,,Assigned,Mabel Lee
BCause,4800a,INV461,,,,Assigned,Jan Novák
Prisma Advisory,4800a,INV482,,,,Assigned,Navn Navnesen
ZINC,4800a,INV412,,,,Assigned,Zhang San
Pegasus Academy,501c,INV450,,,,Assigned,John Smith
Accenture,4800a,INV408,,,,Assigned,Mabel Lee
Re:Co,325d,INV580,,,,Assigned,Jan Novák
Hanki.app,501c,INV563,,,,Assigned,Navn Navnesen
AudioStrip,4800a,INV547,,,,Assigned,Zhang San
BlueStone Partners,4800a,INV502,,,,Assigned,John Smith
Paatch,325d,INV547,,,,Assigned,Mabel Lee
FuzeQube Group,501c,INV418,,,,Assigned,Jan Novák
Leja Technologies,4800a,INV484,,,,Assigned,Navn Navnesen
Rentopia,501c,INV498,,,,Assigned,Zhang San
natify agency,4800a,INV500,,,,Assigned,John Smith
The Medic Circle,325d,INV427,,,,Assigned,Mabel Lee
DeltaFact ApS,501c,INV539,,,,Assigned,Jan Novák
Kobble,501c,INV565,,,,Assigned,Navn Navnesen
Bain & Company,501c,INV481,,,,Assigned,Zhang San
Founders Bay,501c,INV409,,,,Assigned,John Smith
Mirador Insight,4800a,INV546,,,,Assigned,Mabel Lee
MAIKERS INSTITUTE,501c,INV483,,,,Assigned,Jan Novák
ESG Stream,325d,INV457,,,,Assigned,Navn Navnesen
Resolve Sec,501c,INV508,,,,Assigned,Zhang San
Livv Health,501c,INV423,,,,Assigned,John Smith
Stealth Startup,4800a,INV424,,,,Assigned,Mabel Lee
dotflow,325d,INV577,,,,Assigned,Jan Novák
TreQ,325d,INV590,,,,Assigned,Navn Navnesen
DolceVia,501c,INV586,,,,Assigned,Zhang San
Osirion,4800a,INV563,,,,Assigned,John Smith
myProtocol,325d,INV543,,,,Assigned,Mabel Lee
VR2all,325d,INV409,,,,Assigned,Jan Novák
TiM - Talent in Motion,4800a,INV521,,,,Assigned,Navn Navnesen
Carpoll,325d,INV513,,,,Assigned,Zhang San
ODA - Women in Tech Network,4800a,INV436,,,,Assigned,John Smith
Mako Trading,4800a,INV543,,,,Assigned,Mabel Lee
Entracte,501c,INV446,,,,Assigned,Jan Novák
RemedyBytes,501c,INV524,,,,Assigned,Navn Navnesen
Studio Fugu,501c,INV569,,,,Assigned,Zhang San
Tokenshelf GmbH,4800a,INV549,,,,Assigned,John Smith
Ignota Labs,325d,INV406,,,,Assigned,Mabel Lee
Core Padel,325d,INV473,,,,Assigned,Jan Novák
Femcare,325d,INV567,,,,Assigned,Navn Navnesen
kalm*,4800a,INV453,,,,Assigned,Zhang San
Vaisselle Chérie,4800a,INV434,,,,Assigned,John Smith
Wavyr,325d,INV571,,,,Assigned,Mabel Lee
EY,325d,INV558,,,,Assigned,Jan Novák
Orus Energy,501c,INV520,,,,Assigned,Navn Navnesen
Beam,4800a,INV571,,,,Assigned,Zhang San
Gallant Finland,4800a,INV600,,,,Assigned,John Smith
phospho,4800a,INV526,,,,Assigned,Mabel Lee
Women Empowering Defence,4800a,INV416,,,,Assigned,Jan Novák
T-Therapeutics Ltd,501c,INV536,,,,Assigned,Navn Navnesen
J2-Reliance Ltd,501c,INV565,,,,Assigned,Zhang San
Proppl,501c,INV489,,,,Assigned,John Smith
MYTTRA,501c,INV425,,,,Assigned,Mabel Lee
Kabn Company,4800a,INV407,,,,Assigned,Jan Novák
Juicebox,4800a,INV406,,,,Assigned,Navn Navnesen
Contorion,325d,INV446,,,,Assigned,Zhang San
