Company,Type,Series,URL,B2B vs B2C,Location
Dhala Cyberdéfense - Partenaire Cybersécurité des PME.,325d,INV449,,,
beautyfood,4800a,INV430,,,
PRONOE,325d,INV481,,,
Hanna Larsson,501c,INV438,,,
Futurice,325d,INV414,,,
Paradox Interactive,4800a,INV470,,,
Ida,325d,INV400,,,
Mint Consulting Services,325d,INV533,,,
NotSoLiquid,325d,INV543,,,
Ogma,4800a,INV540,,,
BiteLabs Healthtech,501c,INV534,,,
Glede,4800a,INV461,,,
Otsuka Pharmaceutical Companies (U.S.),325d,INV589,,,
