Company,Type,Series,URL,B2B vs B2C,Location
Alpaca Leads,501c,INV449,,,
Phaze bike,4800a,INV456,,,
Victeris,501c,INV492,,,
Zoe Care,4800a,INV585,,,
Aurezzi,325d,INV526,,,
Ambio,325d,INV417,,,
Stealth,325d,INV558,,,
Embrace Neurodiversity Ltd,4800a,INV484,,,
remote.aero,325d,INV536,,,
Locaria,325d,INV429,,,
treefera,4800a,INV546,,,
T3N Sport & Investment,501c,INV489,,,
Junction,501c,INV488,,,
AlphaGrowth_xyz,4800a,INV494,,,
Finastra,501c,INV518,,,
Code of Alfred,4800a,INV452,,,
Neste,325d,INV476,,,
Roel Conseil,4800a,INV545,,,
22h22advisor,325d,INV599,,,
Voxee,325d,INV510,,,
Gritera,325d,INV531,,,
Stealth,4800a,INV522,,,
Kotini,325d,INV537,,,
Butterfly,501c,INV567,,,
Goldman Sachs,4800a,INV446,,,
Immocompare,4800a,INV594,,,
4Elements,4800a,INV458,,,
University of South-Eastern Norway,325d,INV524,,,
SquirrelAI,325d,INV447,,,
Nordat.ai,4800a,INV557,,,
Your Sustainable Friend,325d,INV448,,,
Segenious Finance,501c,INV419,,,
Spot,325d,INV562,,,
NÉA,4800a,INV428,,,
Digital Industrial Modules - DIM,325d,INV529,,,
MAISON MAG,325d,INV424,,,
Optistream,4800a,INV492,,,
Spindogs,325d,INV465,,,
mote.consulting,325d,INV518,,,
NICE RICE,325d,INV540,,,
Boonty,4800a,INV411,,,
Code of Alfred,501c,INV532,,,
Orus Energy,325d,INV461,,,
Manerty,4800a,INV466,,,
SLASHPLAY,4800a,INV404,,,
Bryn Taylor,501c,INV572,,,
EOS EXPORT,325d,INV476,,,
Chloé Blanc Consulting,325d,INV525,,,
Cargoloc,325d,INV414,,,
some frogs,4800a,INV493,,,
Entrepreneur First,501c,INV584,,,
FoundXR,501c,INV441,,,
Faved,501c,INV532,,,
Ripple,325d,INV557,,,
Zola Analytics,4800a,INV500,,,
Great Yellow,325d,INV485,,,
MyLittleBot,4800a,INV583,,,
Otto,501c,INV593,,,
Efficiently,325d,INV593,,,
EY,4800a,INV563,,,
Enpal,325d,INV497,,,
EasyPlay,501c,INV426,,,
ToutatiX,501c,INV542,,,
Riverse,325d,INV504,,,
Bomoz,325d,INV596,,,
