Company,Type,Series,URL,B2B vs B2C,Location
Imperial College Women & Non-Binary Individuals in Computing,4800a,INV519,,,
Packar,325d,INV500,,,
ACUA Ocean,501c,INV588,,,
Walor,501c,INV429,,,
Travel Differently Ltd,4800a,INV506,,,
Glasgow Caledonian University,325d,INV493,,,
Pegasus Academy,501c,INV450,,,
BlueStone Partners,4800a,INV502,,,
natify agency,4800a,INV500,,,
Founders Bay,501c,INV409,,,
Livv Health,501c,INV423,,,
Osirion,4800a,INV563,,,
ODA - Women in Tech Network,4800a,INV436,,,
Tokenshelf GmbH,4800a,INV549,,,
Vaisselle Chérie,4800a,INV434,,,
Gallant Finland,4800a,INV600,,,
Proppl,501c,INV489,,,
Aux Perchés,501c,INV539,,,
Papapéro,4800a,INV493,,,
Intergrid,501c,INV424,,,
Capgemini,4800a,INV423,,,
AutoUncle,325d,INV407,,,
Temple,501c,INV465,,,
OpalFlow,325d,INV425,,,
SkillScout,4800a,INV573,,,
Allectus,501c,INV535,,,
KALAE,325d,INV530,,,
Appera AS,4800a,INV487,,,
Eurekia,325d,INV560,,,
Vasco,501c,INV446,,,
Splore GmbH,4800a,INV432,,,
STEMaccess,325d,INV562,,,
Osol,4800a,INV581,,,
Aira,4800a,INV515,,,
KPI Elevate,325d,INV409,,,
Qonto,501c,INV473,,,
SecondStar,325d,INV445,,,
Hermaid,325d,INV512,,,
MediTechLabs,325d,INV599,,,
Knowingly,501c,INV538,,,
Brainstorm Newsletter,4800a,INV524,,,
CGI Business Consulting,4800a,INV590,,,
Revibe,325d,INV503,,,
Cambridge Intelligence,325d,INV482,,,
Smart Bees,4800a,INV526,,,
Capgemini Engineering,325d,INV400,,,
University of Cambridge,325d,INV423,,,
MAUNA,4800a,INV551,,,
Tacit Legal,4800a,INV506,,,
Pactio,4800a,INV435,,,
MediRapp AG,4800a,INV551,,,
impactify,4800a,INV413,,,
Modelup,325d,INV542,,,
Unity,4800a,INV423,,,
CMi2i,4800a,INV432,,,
Barclays UK,501c,INV448,,,
APPARO,501c,INV534,,,
Sentimenta.io,4800a,INV430,,,
Maria Chietera: Mindfulness & Coaching,4800a,INV502,,,
Freemote,4800a,INV481,,,
throxy,4800a,INV587,,,
Savy Wellness,4800a,INV470,,,
Exercio,501c,INV502,,,
LSC Technologies,4800a,INV408,,,
DutyFinland,501c,INV485,,,
Morgan Stanley,501c,INV482,,,
Zurich Insurance Company Ltd,4800a,INV538,,,
Pasyc,325d,INV426,,,
Volund Consulting,4800a,INV521,,,
UK Storage Company,4800a,INV470,,,
The Oxbridge Tutor Company ,325d,INV421,,,
Ideen-Butze©,4800a,INV560,,,
Udviklings- og Forenklingsstyrelsen,4800a,INV536,,,
Gekko,325d,INV540,,,
Cloudilic,325d,INV512,,,
Alfeor,501c,INV534,,,
Google,4800a,INV425,,,
Valo Security,4800a,INV486,,,
AccelerateurM,325d,INV549,,,
TryOns,501c,INV543,,,
Exevion,4800a,INV547,,,
Monsevo,4800a,INV560,,,
Pareto Securities,501c,INV435,,,
Balanced France,325d,INV600,,,
Buildtivity,4800a,INV536,,,
Tesla,501c,INV416,,,
CAPSMARK,4800a,INV508,,,
London Blockchain Labs (LBL),501c,INV419,,,
INDU.cloud,325d,INV498,,,
ekonoo,4800a,INV483,,,
Energy Volunteers,501c,INV460,,,
The Cambridge Tutor,325d,INV454,,,
NOWLE,4800a,INV448,,,
Blue Ocean Entrepreneurs,501c,INV488,,,
Google,4800a,INV507,,,
Apples,4800a,INV482,,,
Deepen,501c,INV512,,,
ALPConsulting,4800a,INV440,,,
Investlingo,4800a,INV524,,,
