Company,Type,Series,URL,B2B vs B2C,Location
AFL Diversity,325d,INV526,,,
ANYHOW,4800a,INV555,,,
Tacto,325d,INV561,,,
adidas,501c,INV426,,,
Pave,325d,INV425,,,
SAFE AI NOW,501c,INV527,,,
Version Lens,501c,INV513,,,
Cowlabs,501c,INV428,,,
Debtist,4800a,INV445,,,
B3 Secure,325d,INV600,,,
Chorus Capital,4800a,INV581,,,
plinth,501c,INV507,,,
Feldwerke,4800a,INV417,,,
EV inFocus,325d,INV516,,,
Koodipöllö,325d,INV416,,,
Housefolk,501c,INV447,,,
Qogita,325d,INV466,,,
Lulo Invest,325d,INV470,,,
FollowInvest,4800a,INV598,,,
MetaVoice,501c,INV436,,,
CAMELOT Management Consultants,4800a,INV529,,,
kalm*,501c,INV517,,,
Skillfinder AI,325d,INV411,,,
WEBOAF,501c,INV422,,,
Likeo,4800a,INV419,,,
EXPLORING THE PASSION,4800a,INV467,,,
Jagtbasen,325d,INV597,,,
Animaj,4800a,INV482,,,
Salesforce,325d,INV533,,,
The Digital Leaders Fund,325d,INV403,,,
Taivasalla,4800a,INV580,,,
Aara,501c,INV498,,,
NewCo Corporate Finance,325d,INV568,,,
LAURE FRIÈS ARCHITECTURE,4800a,INV481,,,
Oqula,325d,INV530,,,
Augmetec,4800a,INV514,,,
S+SWLAB,4800a,INV585,,,
Scrypt Solutions Ltd,325d,INV442,,,
Guida,501c,INV448,,,
aLp. Consulting,325d,INV525,,,
Berry Health,325d,INV426,,,
Welance Conseil,325d,INV503,,,
Mazars,325d,INV596,,,
Matching (Data for Finance),501c,INV527,,,
NIKITO Parks,4800a,INV424,,,
Happiworkers,4800a,INV596,,,
Antler,325d,INV536,,,
Zukunftsarchitekten & Du,501c,INV594,,,
Cambra de Barcelona,501c,INV454,,,
APEROLOGY,325d,INV467,,,
Cactus Rail AB,325d,INV549,,,
elsa.care,501c,INV400,,,
Fjordblock,4800a,INV417,,,
